,Invoice_ID,Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Date,Time,Payment,Rating,Tax_5%,Total,City
27,189-17-4241,A,Normal,Male,Fashion accessories,87.67,2,2019-03-10,12:17:00,Credit card,7.7,8.767000000000001,184.107,Yangon
29,848-62-7243,A,Normal,Male,Health and beauty,24.89,9,2019-03-15,15:36:00,Cash,7.4,11.2005,235.2105,Yangon
33,595-11-5460,A,Normal,Male,Health and beauty,96.58,2,2019-03-15,10:12:00,Credit card,5.1,9.658000000000001,202.81799999999998,Yangon
36,129-29-8530,A,Normal,Male,Sports and travel,62.62,5,2019-03-10,19:15:00,Ewallet,7.0,15.655,328.75499999999994,Yangon
37,272-65-1806,A,Normal,Male,Electronic accessories,60.88,9,2019-01-15,17:17:00,Ewallet,4.7,27.396000000000004,575.316,Yangon
51,162-48-8011,A,Normal,Female,Food and beverages,44.59,5,2019-02-10,15:10:00,Cash,8.5,11.1475,234.09750000000003,Yangon
56,106-35-6779,A,Normal,Male,Home and lifestyle,44.34,2,2019-03-27,11:26:00,Cash,5.8,4.434,93.114,Yangon
57,635-40-6220,A,Normal,Male,Health and beauty,89.6,8,2019-02-07,11:28:00,Ewallet,6.6,35.839999999999996,752.64,Yangon
58,817-48-8732,A,Normal,Female,Home and lifestyle,72.35,10,2019-01-20,15:55:00,Cash,5.4,36.175000000000004,759.675,Yangon
63,199-75-8169,A,Normal,Male,Sports and travel,15.81,10,2019-03-06,12:27:00,Credit card,8.6,7.905,166.005,Yangon
65,877-22-3308,A,Normal,Male,Health and beauty,15.87,10,2019-03-13,16:40:00,Cash,5.8,7.935,166.635,Yangon
68,232-11-3025,A,Normal,Male,Sports and travel,78.77,10,2019-01-24,10:04:00,Cash,6.4,39.385,827.0849999999999,Yangon
69,382-03-4532,A,Normal,Female,Health and beauty,18.33,1,2019-02-02,18:50:00,Cash,4.3,0.9165,19.246499999999997,Yangon
74,287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9,2019-01-22,10:55:00,Ewallet,9.4,33.6015,705.6315,Yangon
77,381-20-0914,A,Member,Female,Fashion accessories,20.01,9,2019-01-12,15:48:00,Credit card,5.7,9.0045,189.0945,Yangon
87,633-44-8566,A,Member,Male,Food and beverages,49.38,7,2019-03-27,20:35:00,Credit card,7.3,17.283,362.94300000000004,Yangon
88,504-35-8843,A,Normal,Male,Sports and travel,42.47,1,2019-01-02,16:57:00,Cash,5.7,2.1235,44.5935,Yangon
92,873-51-0671,A,Member,Female,Sports and travel,21.98,7,2019-01-10,16:42:00,Ewallet,5.1,7.693000000000001,161.55300000000003,Yangon
95,594-34-4444,A,Normal,Male,Electronic accessories,97.16,1,2019-03-08,20:38:00,Ewallet,7.2,4.8580000000000005,102.018,Yangon
98,865-92-6136,A,Normal,Male,Food and beverages,52.75,3,2019-03-23,10:16:00,Ewallet,9.3,7.9125000000000005,166.1625,Yangon
103,212-62-1842,A,Normal,Male,Food and beverages,58.26,6,2019-03-28,16:44:00,Cash,9.9,17.478,367.038,Yangon
105,704-48-3927,A,Member,Male,Electronic accessories,88.67,10,2019-01-12,14:50:00,Ewallet,7.3,44.33500000000001,931.0350000000001,Yangon
107,630-74-5166,A,Normal,Male,Sports and travel,62.13,6,2019-03-22,20:19:00,Cash,7.4,18.639000000000003,391.41900000000004,Yangon
113,645-44-1170,A,Member,Male,Home and lifestyle,58.07,9,2019-01-19,20:07:00,Ewallet,4.3,26.131500000000003,548.7615,Yangon
118,642-32-2990,A,Normal,Female,Food and beverages,10.96,10,2019-02-02,20:48:00,Ewallet,6.0,5.48,115.08000000000001,Yangon
120,638-60-7125,A,Normal,Female,Electronic accessories,99.56,8,2019-02-14,17:03:00,Credit card,5.2,39.824000000000005,836.304,Yangon
125,668-90-8900,A,Normal,Female,Home and lifestyle,93.69,7,2019-03-10,18:44:00,Credit card,4.5,32.7915,688.6215,Yangon
126,870-54-3162,A,Normal,Female,Sports and travel,32.25,5,2019-01-27,13:26:00,Cash,9.0,8.0625,169.3125,Yangon
131,802-70-5316,A,Member,Female,Sports and travel,92.13,6,2019-03-06,20:34:00,Cash,8.3,27.639,580.419,Yangon
136,700-81-1757,A,Normal,Female,Electronic accessories,26.31,5,2019-01-18,20:59:00,Credit card,8.8,6.5775,138.12749999999997,Yangon
137,354-39-5160,A,Member,Female,Home and lifestyle,34.42,6,2019-02-18,15:39:00,Cash,9.8,10.326,216.846,Yangon
139,575-30-8091,A,Normal,Male,Sports and travel,72.5,8,2019-03-16,19:25:00,Ewallet,9.2,29.0,609.0,Yangon
144,239-10-7476,A,Normal,Female,Home and lifestyle,77.95,6,2019-01-21,16:37:00,Ewallet,8.0,23.385000000000005,491.08500000000004,Yangon
146,685-64-1609,A,Member,Female,Fashion accessories,30.14,10,2019-02-10,12:28:00,Ewallet,9.2,15.07,316.46999999999997,Yangon
149,238-49-0436,A,Normal,Male,Health and beauty,32.46,8,2019-03-27,13:48:00,Credit card,4.9,12.984000000000002,272.664,Yangon
152,746-94-0204,A,Normal,Male,Fashion accessories,83.24,9,2019-01-29,11:56:00,Credit card,7.4,37.458,786.6179999999999,Yangon
155,782-95-9291,A,Member,Male,Food and beverages,92.29,5,2019-02-20,15:55:00,Credit card,9.0,23.072500000000005,484.52250000000004,Yangon
161,275-28-0149,A,Normal,Male,Sports and travel,63.69,1,2019-02-25,16:21:00,Cash,6.0,3.1845,66.8745,Yangon
162,101-17-6199,A,Normal,Male,Food and beverages,45.79,7,2019-03-13,19:44:00,Credit card,7.0,16.0265,336.55649999999997,Yangon
167,687-47-8271,A,Normal,Male,Fashion accessories,98.98,10,2019-02-08,16:20:00,Credit card,8.7,49.49000000000001,1039.29,Yangon
168,796-32-9050,A,Normal,Male,Food and beverages,51.28,6,2019-01-19,16:31:00,Cash,6.5,15.384,323.064,Yangon
169,105-31-1824,A,Member,Male,Sports and travel,69.52,7,2019-02-01,15:10:00,Credit card,8.5,24.332,510.972,Yangon
170,249-42-3782,A,Normal,Male,Health and beauty,70.01,5,2019-01-03,11:36:00,Ewallet,5.5,17.5025,367.5525,Yangon
175,827-26-2100,A,Member,Male,Home and lifestyle,33.84,9,2019-03-21,16:21:00,Ewallet,8.8,15.228000000000003,319.78800000000007,Yangon
176,175-54-2529,A,Member,Male,Food and beverages,22.17,8,2019-03-03,17:01:00,Credit card,9.6,8.868,186.228,Yangon
178,407-63-8975,A,Normal,Male,Food and beverages,73.88,6,2019-03-23,19:16:00,Ewallet,4.4,22.164,465.44399999999996,Yangon
182,851-28-6367,A,Member,Male,Sports and travel,15.5,10,2019-03-23,10:55:00,Ewallet,8.0,7.75,162.75,Yangon
184,586-25-0848,A,Normal,Female,Sports and travel,12.34,7,2019-03-04,11:19:00,Credit card,6.7,4.319,90.699,Yangon
188,400-60-7251,A,Normal,Male,Home and lifestyle,74.07,1,2019-02-10,12:50:00,Ewallet,9.9,3.7035,77.7735,Yangon
194,831-07-6050,A,Normal,Male,Electronic accessories,32.71,5,2019-03-19,11:30:00,Credit card,9.9,8.1775,171.72750000000002,Yangon
197,856-22-8149,A,Normal,Female,Home and lifestyle,25.29,1,2019-03-23,10:13:00,Ewallet,6.1,1.2645,26.554499999999997,Yangon
205,749-24-1565,A,Normal,Female,Health and beauty,23.03,9,2019-01-03,12:02:00,Ewallet,7.9,10.363500000000002,217.63350000000003,Yangon
210,888-02-0338,A,Normal,Male,Electronic accessories,26.23,9,2019-01-25,20:24:00,Ewallet,5.9,11.8035,247.87349999999998,Yangon
215,802-43-8934,A,Normal,Male,Home and lifestyle,18.28,1,2019-03-22,15:05:00,Credit card,8.3,0.9140000000000001,19.194000000000003,Yangon
217,319-74-2561,A,Member,Female,Electronic accessories,94.64,3,2019-02-21,16:55:00,Cash,5.5,14.196000000000002,298.11600000000004,Yangon
224,213-72-6612,A,Normal,Male,Food and beverages,43.25,2,2019-03-20,15:56:00,Cash,6.2,4.325,90.825,Yangon
229,721-86-6247,A,Normal,Female,Home and lifestyle,63.42,8,2019-03-11,12:55:00,Ewallet,7.4,25.368000000000002,532.7280000000001,Yangon
234,157-13-5295,A,Member,Male,Health and beauty,51.94,10,2019-03-09,18:24:00,Ewallet,6.5,25.97,545.37,Yangon
235,645-78-8093,A,Normal,Female,Sports and travel,93.14,2,2019-01-20,18:09:00,Ewallet,4.1,9.314,195.594,Yangon
239,478-06-7835,A,Normal,Male,Fashion accessories,89.69,1,2019-01-11,11:20:00,Ewallet,4.9,4.4845,94.1745,Yangon
240,540-11-4336,A,Normal,Male,Food and beverages,24.94,9,2019-01-11,16:49:00,Credit card,5.6,11.223,235.68300000000002,Yangon
241,448-81-5016,A,Normal,Male,Health and beauty,59.77,2,2019-03-11,12:01:00,Credit card,5.8,5.977,125.51700000000001,Yangon
243,217-58-1179,A,Member,Male,Home and lifestyle,62.65,4,2019-01-05,11:25:00,Cash,4.2,12.530000000000001,263.13,Yangon
245,530-90-9855,A,Member,Male,Home and lifestyle,47.59,8,2019-01-01,14:47:00,Cash,5.7,19.036,399.75600000000003,Yangon
247,604-70-6476,A,Member,Male,Fashion accessories,17.94,5,2019-01-23,14:04:00,Ewallet,6.8,4.485,94.185,Yangon
248,799-71-1548,A,Member,Male,Electronic accessories,77.72,4,2019-01-07,16:11:00,Credit card,8.8,15.544,326.424,Yangon
253,290-68-2984,A,Normal,Male,Home and lifestyle,23.75,4,2019-03-16,11:22:00,Cash,5.2,4.75,99.75,Yangon
254,704-11-6354,A,Member,Male,Home and lifestyle,58.9,8,2019-01-06,11:23:00,Cash,8.9,23.560000000000002,494.76,Yangon
256,366-93-0948,A,Member,Male,Electronic accessories,66.35,1,2019-01-31,10:46:00,Credit card,9.7,3.3175,69.66749999999999,Yangon
257,729-09-9681,A,Member,Male,Home and lifestyle,25.91,6,2019-02-05,10:16:00,Ewallet,8.7,7.773000000000001,163.233,Yangon
258,151-16-1484,A,Member,Male,Electronic accessories,32.25,4,2019-02-13,12:38:00,Ewallet,6.5,6.45,135.45,Yangon
260,850-41-9669,A,Normal,Female,Electronic accessories,75.06,9,2019-03-19,13:25:00,Ewallet,6.2,33.777,709.317,Yangon
263,447-15-7839,A,Member,Female,Sports and travel,22.24,10,2019-02-09,11:00:00,Cash,4.2,11.12,233.51999999999998,Yangon
265,253-12-6086,A,Member,Female,Sports and travel,98.4,7,2019-03-12,12:43:00,Credit card,8.7,34.440000000000005,723.2400000000001,Yangon
268,144-51-6085,A,Member,Male,Home and lifestyle,70.74,4,2019-01-05,16:05:00,Credit card,4.4,14.148,297.108,Yangon
269,731-14-2199,A,Member,Female,Home and lifestyle,35.54,10,2019-01-04,13:34:00,Ewallet,7.0,17.77,373.16999999999996,Yangon
272,126-54-1082,A,Member,Female,Home and lifestyle,21.54,9,2019-01-07,11:44:00,Credit card,8.8,9.693,203.553,Yangon
273,633-91-1052,A,Normal,Female,Home and lifestyle,12.03,2,2019-01-27,15:51:00,Cash,5.1,1.203,25.262999999999998,Yangon
279,828-61-5674,A,Member,Male,Sports and travel,44.02,10,2019-03-20,19:57:00,Credit card,9.6,22.010000000000005,462.21000000000004,Yangon
280,136-08-6195,A,Normal,Female,Home and lifestyle,69.96,8,2019-02-15,17:01:00,Credit card,6.4,27.983999999999998,587.664,Yangon
282,490-29-1201,A,Normal,Female,Sports and travel,15.34,1,2019-01-06,11:09:00,Cash,6.5,0.767,16.107,Yangon
283,667-92-0055,A,Member,Male,Health and beauty,99.83,6,2019-03-04,15:02:00,Ewallet,8.5,29.949,628.929,Yangon
284,565-17-3836,A,Member,Female,Health and beauty,47.67,4,2019-03-12,14:21:00,Cash,9.1,9.534,200.214,Yangon
289,430-60-3493,A,Member,Female,Home and lifestyle,94.88,7,2019-02-03,14:38:00,Cash,4.2,33.208,697.3679999999999,Yangon
292,278-97-7759,A,Member,Female,Electronic accessories,62.48,1,2019-02-18,20:29:00,Cash,4.7,3.124,65.604,Yangon
293,316-68-6352,A,Member,Female,Food and beverages,36.36,2,2019-01-21,10:00:00,Cash,7.1,3.636,76.356,Yangon
297,744-02-5987,A,Member,Male,Home and lifestyle,78.38,6,2019-01-10,14:16:00,Ewallet,5.8,23.514,493.794,Yangon
298,307-83-9164,A,Member,Male,Home and lifestyle,60.01,4,2019-01-25,15:54:00,Cash,4.5,12.002,252.042,Yangon
303,439-54-7422,A,Normal,Female,Electronic accessories,51.19,4,2019-03-18,17:15:00,Credit card,4.7,10.238,214.998,Yangon
305,411-77-0180,A,Member,Male,Electronic accessories,72.2,7,2019-03-26,20:14:00,Ewallet,4.3,25.270000000000003,530.6700000000001,Yangon
306,286-01-5402,A,Normal,Female,Sports and travel,40.23,7,2019-03-30,13:22:00,Cash,9.6,14.080499999999999,295.69049999999993,Yangon
307,803-17-8013,A,Member,Female,Home and lifestyle,88.79,8,2019-02-17,17:09:00,Cash,4.1,35.516000000000005,745.836,Yangon
308,512-98-1403,A,Member,Female,Electronic accessories,26.48,3,2019-03-21,10:40:00,Ewallet,4.7,3.972,83.41199999999999,Yangon
309,848-42-2560,A,Normal,Female,Fashion accessories,81.91,2,2019-03-05,17:43:00,Cash,7.8,8.191,172.011,Yangon
312,870-76-1733,A,Member,Female,Food and beverages,14.23,5,2019-02-01,10:08:00,Credit card,4.4,3.5575000000000006,74.70750000000001,Yangon
313,423-64-4619,A,Member,Female,Health and beauty,15.55,9,2019-03-07,13:12:00,Cash,5.0,6.997500000000001,146.94750000000002,Yangon
322,372-94-8041,A,Normal,Male,Health and beauty,15.26,6,2019-02-15,18:03:00,Ewallet,9.8,4.578,96.138,Yangon
323,563-91-7120,A,Normal,Female,Fashion accessories,61.77,5,2019-03-08,13:21:00,Cash,6.7,15.442500000000003,324.2925,Yangon
324,746-54-5508,A,Normal,Male,Home and lifestyle,21.52,6,2019-01-17,12:48:00,Credit card,9.4,6.456,135.576,Yangon
326,815-11-1168,A,Member,Male,Food and beverages,99.78,5,2019-03-09,19:09:00,Cash,5.4,24.945,523.845,Yangon
329,340-66-0321,A,Member,Male,Electronic accessories,36.36,4,2019-03-25,13:07:00,Cash,7.6,7.272,152.712,Yangon
331,634-97-8956,A,Normal,Male,Food and beverages,32.9,3,2019-02-17,17:27:00,Credit card,9.1,4.935,103.63499999999999,Yangon
332,566-71-1091,A,Normal,Male,Fashion accessories,77.02,5,2019-02-03,15:59:00,Cash,5.5,19.255,404.35499999999996,Yangon
333,442-48-3607,A,Member,Male,Food and beverages,23.48,2,2019-03-14,11:21:00,Credit card,7.9,2.3480000000000003,49.308,Yangon
335,527-09-6272,A,Member,Female,Electronic accessories,28.45,5,2019-03-21,10:17:00,Credit card,9.1,7.112500000000001,149.3625,Yangon
336,898-04-2717,A,Normal,Male,Fashion accessories,76.4,9,2019-03-19,15:49:00,Ewallet,7.5,34.38,721.98,Yangon
344,150-89-8043,A,Normal,Male,Sports and travel,44.65,3,2019-02-14,15:04:00,Cash,6.2,6.6975,140.64749999999998,Yangon
345,135-84-8019,A,Normal,Female,Fashion accessories,77.93,9,2019-02-27,16:10:00,Ewallet,7.6,35.06850000000001,736.4385000000001,Yangon
346,441-94-7118,A,Member,Male,Electronic accessories,71.95,1,2019-02-04,12:14:00,Cash,7.3,3.5975,75.5475,Yangon
348,531-80-1784,A,Normal,Male,Electronic accessories,26.02,7,2019-03-28,17:38:00,Cash,5.1,9.107,191.24699999999999,Yangon
351,834-61-8124,A,Normal,Male,Electronic accessories,51.69,7,2019-01-26,18:22:00,Cash,5.5,18.0915,379.9215,Yangon
360,612-36-5536,A,Member,Male,Food and beverages,80.96,8,2019-02-17,11:12:00,Credit card,7.4,32.384,680.064,Yangon
363,462-67-9126,A,Normal,Male,Home and lifestyle,73.22,6,2019-01-21,17:44:00,Cash,7.2,21.966,461.286,Yangon
367,468-88-0009,A,Member,Male,Home and lifestyle,65.94,4,2019-03-24,10:29:00,Cash,6.0,13.188,276.948,Yangon
369,254-31-0042,A,Member,Male,Electronic accessories,21.5,9,2019-03-06,12:46:00,Credit card,7.8,9.675,203.175,Yangon
374,422-29-8786,A,Normal,Female,Home and lifestyle,67.09,5,2019-01-03,16:47:00,Credit card,9.1,16.772500000000004,352.2225,Yangon
375,667-23-5919,A,Member,Female,Fashion accessories,96.7,5,2019-01-14,12:52:00,Ewallet,7.0,24.175,507.675,Yangon
380,289-15-7034,A,Member,Male,Sports and travel,82.33,4,2019-01-11,10:37:00,Credit card,7.5,16.466,345.786,Yangon
384,662-72-2873,A,Normal,Female,Food and beverages,40.94,5,2019-01-06,13:58:00,Ewallet,9.9,10.235,214.935,Yangon
387,725-56-0833,A,Normal,Female,Health and beauty,32.32,10,2019-02-20,16:49:00,Credit card,10.0,16.16,339.36,Yangon
392,563-36-9814,A,Member,Male,Electronic accessories,76.82,1,2019-02-13,18:27:00,Ewallet,7.2,3.8409999999999997,80.66099999999999,Yangon
393,308-47-4913,A,Member,Female,Sports and travel,52.26,10,2019-03-09,12:45:00,Credit card,6.2,26.130000000000003,548.73,Yangon
394,885-17-6250,A,Normal,Female,Health and beauty,79.74,1,2019-03-06,10:36:00,Ewallet,7.3,3.987,83.72699999999999,Yangon
395,726-27-2396,A,Normal,Female,Health and beauty,77.5,5,2019-01-24,20:36:00,Ewallet,4.3,19.375,406.875,Yangon
396,316-01-3952,A,Normal,Female,Food and beverages,54.27,5,2019-03-13,14:16:00,Ewallet,4.6,13.567500000000003,284.9175,Yangon
405,882-40-4577,A,Member,Male,Sports and travel,67.26,4,2019-01-19,15:28:00,Credit card,8.0,13.452000000000002,282.492,Yangon
406,732-67-5346,A,Normal,Male,Food and beverages,13.79,5,2019-01-11,19:07:00,Credit card,7.8,3.4475,72.3975,Yangon
408,256-08-8343,A,Normal,Female,Home and lifestyle,56.53,4,2019-03-04,19:48:00,Ewallet,5.5,11.306000000000001,237.42600000000002,Yangon
412,132-23-6451,A,Member,Male,Health and beauty,20.97,5,2019-01-04,13:21:00,Cash,7.8,5.2425,110.0925,Yangon
413,696-90-2548,A,Normal,Male,Sports and travel,25.84,3,2019-03-10,18:55:00,Ewallet,6.6,3.876,81.396,Yangon
414,472-15-9636,A,Normal,Male,Home and lifestyle,50.93,8,2019-03-22,19:36:00,Ewallet,9.2,20.372,427.812,Yangon
419,745-71-3520,A,Member,Female,Electronic accessories,25.22,7,2019-02-04,10:23:00,Cash,8.2,8.827,185.367,Yangon
426,269-10-8440,A,Member,Male,Health and beauty,53.17,7,2019-01-21,18:01:00,Cash,8.9,18.6095,390.7995,Yangon
429,325-77-6186,A,Member,Female,Home and lifestyle,90.65,10,2019-03-08,10:53:00,Ewallet,7.3,45.325,951.825,Yangon
432,459-50-7686,A,Normal,Female,Electronic accessories,23.46,6,2019-01-13,19:14:00,Ewallet,6.4,7.038,147.798,Yangon
437,345-08-4992,A,Normal,Male,Home and lifestyle,33.99,6,2019-03-08,15:37:00,Credit card,7.7,10.197000000000001,214.137,Yangon
442,138-17-5109,A,Member,Female,Home and lifestyle,89.21,9,2019-01-15,15:42:00,Credit card,6.5,40.1445,843.0345,Yangon
444,301-11-9629,A,Normal,Female,Sports and travel,19.1,7,2019-01-15,10:43:00,Cash,9.7,6.685000000000001,140.38500000000002,Yangon
452,727-17-0390,A,Normal,Female,Food and beverages,63.61,5,2019-03-16,12:43:00,Ewallet,4.8,15.902500000000002,333.9525,Yangon
453,568-88-3448,A,Normal,Male,Health and beauty,25.0,1,2019-03-03,15:09:00,Ewallet,5.5,1.25,26.25,Yangon
454,187-83-5490,A,Member,Male,Electronic accessories,20.77,4,2019-01-31,13:47:00,Cash,4.7,4.154,87.234,Yangon
464,470-32-9057,A,Member,Male,Food and beverages,51.34,5,2019-03-28,15:31:00,Credit card,9.1,12.835000000000003,269.535,Yangon
471,340-21-9136,A,Member,Female,Sports and travel,40.05,4,2019-01-25,11:40:00,Cash,9.7,8.01,168.20999999999998,Yangon
472,405-31-3305,A,Member,Male,Fashion accessories,43.13,10,2019-02-02,18:31:00,Credit card,5.5,21.565,452.865,Yangon
474,676-39-6028,A,Member,Female,Electronic accessories,64.44,5,2019-03-30,17:04:00,Cash,6.6,16.11,338.31,Yangon
475,502-05-1910,A,Normal,Male,Health and beauty,65.18,3,2019-02-25,20:35:00,Credit card,6.3,9.777000000000001,205.317,Yangon
476,485-30-8700,A,Normal,Female,Sports and travel,33.26,5,2019-03-18,16:10:00,Credit card,4.2,8.315,174.61499999999998,Yangon
479,575-67-1508,A,Normal,Male,Electronic accessories,38.6,1,2019-01-29,11:26:00,Ewallet,6.7,1.9300000000000002,40.53,Yangon
482,674-15-9296,A,Normal,Male,Sports and travel,37.14,5,2019-01-08,13:05:00,Ewallet,5.0,9.285,194.98499999999999,Yangon
487,795-49-7276,A,Normal,Male,Fashion accessories,37.15,4,2019-03-23,18:59:00,Ewallet,8.3,7.43,156.03,Yangon
491,510-09-5628,A,Member,Female,Fashion accessories,19.66,10,2019-03-15,18:20:00,Credit card,7.2,9.83,206.43,Yangon
499,420-18-8989,A,Member,Female,Sports and travel,51.52,8,2019-02-02,15:47:00,Cash,9.6,20.608000000000004,432.76800000000003,Yangon
505,726-29-6793,A,Member,Male,Electronic accessories,24.18,8,2019-01-28,20:54:00,Ewallet,9.8,9.672,203.112,Yangon
511,209-61-0206,A,Normal,Female,Home and lifestyle,42.91,5,2019-01-05,17:29:00,Ewallet,6.1,10.7275,225.27749999999997,Yangon
512,595-27-4851,A,Normal,Female,Fashion accessories,54.28,7,2019-01-27,18:05:00,Ewallet,9.3,18.998,398.958,Yangon
513,189-52-0236,A,Normal,Male,Electronic accessories,99.55,7,2019-03-14,12:07:00,Cash,7.6,34.8425,731.6925,Yangon
518,220-28-1851,A,Normal,Male,Home and lifestyle,34.73,2,2019-03-01,18:14:00,Ewallet,9.7,3.473,72.93299999999999,Yangon
522,609-81-8548,A,Member,Female,Home and lifestyle,37.44,6,2019-02-06,13:55:00,Credit card,5.9,11.232,235.87199999999999,Yangon
524,534-01-4457,A,Normal,Male,Food and beverages,81.71,6,2019-01-27,14:36:00,Credit card,8.0,24.513,514.773,Yangon
525,719-89-8991,A,Member,Female,Sports and travel,91.41,5,2019-02-25,16:03:00,Ewallet,7.1,22.8525,479.9025,Yangon
529,827-77-7633,A,Normal,Male,Sports and travel,98.09,9,2019-02-17,19:41:00,Cash,9.3,44.1405,926.9505,Yangon
530,287-83-1405,A,Normal,Male,Health and beauty,25.43,6,2019-02-12,19:01:00,Ewallet,7.0,7.629,160.20899999999997,Yangon
531,435-13-4908,A,Member,Male,Fashion accessories,86.68,8,2019-01-24,18:04:00,Credit card,7.2,34.672000000000004,728.1120000000001,Yangon
534,892-05-6689,A,Normal,Female,Home and lifestyle,28.32,5,2019-03-11,13:28:00,Ewallet,6.2,7.08,148.68,Yangon
537,643-38-7867,A,Normal,Male,Home and lifestyle,97.94,1,2019-03-07,11:44:00,Ewallet,6.9,4.897,102.837,Yangon
538,308-81-0538,A,Normal,Female,Fashion accessories,73.05,4,2019-02-25,17:16:00,Credit card,4.9,14.61,306.81,Yangon
540,460-35-4390,A,Normal,Male,Home and lifestyle,30.68,3,2019-01-22,11:00:00,Ewallet,9.1,4.601999999999999,96.642,Yangon
546,647-50-1224,A,Normal,Female,Fashion accessories,29.42,10,2019-01-12,16:23:00,Ewallet,8.9,14.710000000000003,308.91,Yangon
547,541-48-8554,A,Normal,Male,Sports and travel,60.95,9,2019-01-07,12:08:00,Credit card,6.0,27.427500000000006,575.9775000000001,Yangon
549,213-32-1216,A,Normal,Female,Electronic accessories,66.06,6,2019-01-23,10:28:00,Cash,7.3,19.818,416.178,Yangon
554,134-75-2619,A,Member,Male,Electronic accessories,19.32,7,2019-03-25,18:51:00,Cash,6.9,6.7620000000000005,142.002,Yangon
558,712-39-0363,A,Member,Male,Food and beverages,41.66,6,2019-01-02,15:24:00,Ewallet,5.6,12.498,262.45799999999997,Yangon
559,218-59-9410,A,Member,Female,Home and lifestyle,72.42,3,2019-03-29,16:54:00,Ewallet,8.2,10.863,228.123,Yangon
563,760-90-2357,A,Member,Male,Electronic accessories,74.51,6,2019-03-20,15:08:00,Ewallet,5.0,22.353000000000005,469.41300000000007,Yangon
565,698-98-5964,A,Normal,Female,Food and beverages,81.21,10,2019-01-17,13:01:00,Credit card,6.3,40.605,852.7049999999999,Yangon
567,651-88-7328,A,Normal,Female,Fashion accessories,65.74,9,2019-01-01,13:55:00,Cash,7.7,29.583,621.2429999999999,Yangon
572,239-48-4278,A,Member,Male,Food and beverages,10.13,7,2019-03-10,19:35:00,Ewallet,8.3,3.5455000000000005,74.45550000000001,Yangon
574,550-84-8664,A,Normal,Male,Sports and travel,85.91,5,2019-03-22,14:33:00,Credit card,8.6,21.4775,451.0275,Yangon
578,797-88-0493,A,Normal,Female,Health and beauty,64.27,4,2019-03-26,13:54:00,Cash,7.7,12.854,269.93399999999997,Yangon
581,443-82-0585,A,Member,Female,Health and beauty,77.68,4,2019-02-01,19:54:00,Cash,8.4,15.536000000000001,326.25600000000003,Yangon
585,127-47-6963,A,Normal,Male,Health and beauty,51.71,4,2019-03-09,13:53:00,Credit card,9.8,10.342,217.18200000000002,Yangon
586,278-86-2735,A,Normal,Female,Food and beverages,52.34,3,2019-03-27,14:03:00,Cash,9.2,7.851000000000001,164.871,Yangon
587,695-28-6250,A,Normal,Female,Sports and travel,43.06,5,2019-02-04,16:38:00,Ewallet,7.7,10.765,226.065,Yangon
589,227-50-3718,A,Normal,Male,Health and beauty,14.62,5,2019-03-04,12:23:00,Cash,4.4,3.655,76.755,Yangon
